"factId","metricId","metricName","scopeType","scopeName","month","value","unit","numerator","denominator","formula","quality","alert","inputs","sources"
"F0001","total_cost","总成本","总览","OTC事业部","1月","3050.08","万元","null","null","人工成本 + 市场费 + 运作费 + 品牌费","品牌费未分月","null","[{""name"":""人工成本"",""value"":430.19,""unit"":""万元""},{""name"":""市场费"",""value"":1276.91,""unit"":""万元""},{""name"":""运作费"",""value"":1342.99,""unit"":""万元""},{""name"":""品牌费（月度未分摊）"",""value"":0,""unit"":""万元""}]","[{""table"":""各部门费率计算"",""originalTable"":""各部门人工成本合计-总成本 副本"",""fields"":[""月度人工成本"",""月度市场费"",""月度运作费"",""月度实际销额"",""月度总成本""],""rowRefs"":[""department_rate.tsv#row1"",""department_rate.tsv#row2"",""department_rate.tsv#row3"",""department_rate.tsv#row4"",""department_rate.tsv#row5"",""department_rate.tsv#row6"",""department_rate.tsv#row7"",""department_rate.tsv#row8"",""department_rate.tsv#row9"",""department_rate.tsv#row10"",""department_rate.tsv#row11"",""department_rate.tsv#row12"",""department_rate.tsv#row13"",""department_rate.tsv#row14""]}]"
"F0002","actual_sales","实际销额","总览","OTC事业部","1月","6570.18","万元","null","null","新增费率计算表中对应部门、月份“实际销额”之和","已核对","null","[]","[{""table"":""各部门费率计算"",""originalTable"":""各部门人工成本合计-总成本 副本"",""fields"":[""月度人工成本"",""月度市场费"",""月度运作费"",""月度实际销额"",""月度总成本""],""rowRefs"":[""department_rate.tsv#row1"",""department_rate.tsv#row2"",""department_rate.tsv#row3"",""department_rate.tsv#row4"",""department_rate.tsv#row5"",""department_rate.tsv#row6"",""department_rate.tsv#row7"",""department_rate.tsv#row8"",""department_rate.tsv#row9"",""department_rate.tsv#row10"",""department_rate.tsv#row11"",""department_rate.tsv#row12"",""department_rate.tsv#row13"",""department_rate.tsv#row14""]}]"
"F0003","fee_rate","费率/总成本率","总览","OTC事业部","1月","46.42","%","3050.08","6570.18","总成本 ÷ 实际销额 × 100%","品牌费未分月","{""level"":""critical"",""label"":""严重预警"",""message"":""费率≥30%，超过暂定红线""}","[{""name"":""月度总成本（未分摊品牌费）"",""value"":3050.08,""unit"":""万元""},{""name"":""月度实际销额"",""value"":6570.18,""unit"":""万元""}]","[{""table"":""各部门费率计算"",""originalTable"":""各部门人工成本合计-总成本 副本"",""fields"":[""月度人工成本"",""月度市场费"",""月度运作费"",""月度实际销额"",""月度总成本""],""rowRefs"":[""department_rate.tsv#row1"",""department_rate.tsv#row2"",""department_rate.tsv#row3"",""department_rate.tsv#row4"",""department_rate.tsv#row5"",""department_rate.tsv#row6"",""department_rate.tsv#row7"",""department_rate.tsv#row8"",""department_rate.tsv#row9"",""department_rate.tsv#row10"",""department_rate.tsv#row11"",""department_rate.tsv#row12"",""department_rate.tsv#row13"",""department_rate.tsv#row14""]}]"
"F0004","paid_headcount","发薪人数","总览","OTC事业部","1月","472","人","null","null","人工成本表当月记录“人数”字段之和","已核对","null","[]","[{""table"":""2026年人工成本"",""fields"":[""月份"",""人数""],""filter"":""月份=1月"",""matchedRows"":472}]"
"F0005","hire_rate","入职率","总览","OTC事业部","1月","2.54","%","12","472","当月入职人数 ÷ 当月发薪人数 × 100%","已核对","null","[{""name"":""当月入职人数"",""value"":12,""unit"":""人""},{""name"":""当月发薪人数"",""value"":472,""unit"":""人""}]","[{""table"":""2026年人工成本"",""fields"":[""月份"",""人数""],""filter"":""月份=1月"",""matchedRows"":472}]"
"F0006","turnover_rate","离职率","总览","OTC事业部","1月","7.2","%","34","472","当月离职人数 ÷ 当月发薪人数 × 100%","已核对","null","[{""name"":""当月离职人数"",""value"":34,""unit"":""人""},{""name"":""当月发薪人数"",""value"":472,""unit"":""人""}]","[{""table"":""2026年人工成本"",""fields"":[""月份"",""人数""],""filter"":""月份=1月"",""matchedRows"":472}]"
"F0007","total_cost","总成本","总览","OTC事业部","2月","703.05","万元","null","null","人工成本 + 市场费 + 运作费 + 品牌费","品牌费未分月","null","[{""name"":""人工成本"",""value"":386.75,""unit"":""万元""},{""name"":""市场费"",""value"":286.34,""unit"":""万元""},{""name"":""运作费"",""value"":29.97,""unit"":""万元""},{""name"":""品牌费（月度未分摊）"",""value"":0,""unit"":""万元""}]","[{""table"":""各部门费率计算"",""originalTable"":""各部门人工成本合计-总成本 副本"",""fields"":[""月度人工成本"",""月度市场费"",""月度运作费"",""月度实际销额"",""月度总成本""],""rowRefs"":[""department_rate.tsv#row1"",""department_rate.tsv#row2"",""department_rate.tsv#row3"",""department_rate.tsv#row4"",""department_rate.tsv#row5"",""department_rate.tsv#row6"",""department_rate.tsv#row7"",""department_rate.tsv#row8"",""department_rate.tsv#row9"",""department_rate.tsv#row10"",""department_rate.tsv#row11"",""department_rate.tsv#row12"",""department_rate.tsv#row13"",""department_rate.tsv#row14""]}]"
"F0008","actual_sales","实际销额","总览","OTC事业部","2月","4247.73","万元","null","null","新增费率计算表中对应部门、月份“实际销额”之和","已核对","null","[]","[{""table"":""各部门费率计算"",""originalTable"":""各部门人工成本合计-总成本 副本"",""fields"":[""月度人工成本"",""月度市场费"",""月度运作费"",""月度实际销额"",""月度总成本""],""rowRefs"":[""department_rate.tsv#row1"",""department_rate.tsv#row2"",""department_rate.tsv#row3"",""department_rate.tsv#row4"",""department_rate.tsv#row5"",""department_rate.tsv#row6"",""department_rate.tsv#row7"",""department_rate.tsv#row8"",""department_rate.tsv#row9"",""department_rate.tsv#row10"",""department_rate.tsv#row11"",""department_rate.tsv#row12"",""department_rate.tsv#row13"",""department_rate.tsv#row14""]}]"
"F0009","fee_rate","费率/总成本率","总览","OTC事业部","2月","16.55","%","703.05","4247.73","总成本 ÷ 实际销额 × 100%","品牌费未分月","{""level"":""normal"",""label"":""正常"",""message"":""费率低于20%暂定阈值""}","[{""name"":""月度总成本（未分摊品牌费）"",""value"":703.05,""unit"":""万元""},{""name"":""月度实际销额"",""value"":4247.73,""unit"":""万元""}]","[{""table"":""各部门费率计算"",""originalTable"":""各部门人工成本合计-总成本 副本"",""fields"":[""月度人工成本"",""月度市场费"",""月度运作费"",""月度实际销额"",""月度总成本""],""rowRefs"":[""department_rate.tsv#row1"",""department_rate.tsv#row2"",""department_rate.tsv#row3"",""department_rate.tsv#row4"",""department_rate.tsv#row5"",""department_rate.tsv#row6"",""department_rate.tsv#row7"",""department_rate.tsv#row8"",""department_rate.tsv#row9"",""department_rate.tsv#row10"",""department_rate.tsv#row11"",""department_rate.tsv#row12"",""department_rate.tsv#row13"",""department_rate.tsv#row14""]}]"
"F0010","paid_headcount","发薪人数","总览","OTC事业部","2月","441","人","null","null","人工成本表当月记录“人数”字段之和","已核对","null","[]","[{""table"":""2026年人工成本"",""fields"":[""月份"",""人数""],""filter"":""月份=2月"",""matchedRows"":441}]"
